,location,BHK,total_sqft,bath,price
4436,Hennur Road,3,1949.0,3.0,133.0
4437,others,2,905.0,2.0,50.0
4438,Kaikondrahalli,3,1605.0,3.0,105.0
4439,Bommanahalli,2,1290.0,2.0,73.0
4440,Yelahanka,2,1100.0,2.0,60.0
4441,Vishveshwarya Layout,6,2100.0,6.0,92.0
4442,Electronics City Phase 1,2,995.0,2.0,49.8
4443,Gottigere,3,1425.0,2.0,47.0
4444,others,3,1455.0,2.0,55.0
4445,others,1,550.0,1.0,23.0
4446,Vishveshwarya Layout,4,7000.0,4.0,210.0
4447,others,5,4000.0,3.0,130.0
4448,others,2,1060.0,2.0,53.0
4449,others,3,1080.0,2.0,75.0
4450,HBR Layout,3,1783.0,3.0,125.0
4451,Haralur Road,3,1520.0,2.0,90.0
4452,Sarjapur  Road,2,1060.0,2.0,55.0
4453,Raja Rajeshwari Nagar,2,1267.0,2.0,54.35
4454,Whitefield,2,1155.0,2.0,55.0
4455,Karuna Nagar,3,2500.0,3.0,180.0
4456,Bannerghatta Road,2,1240.0,2.0,65.0
4457,others,3,1570.0,3.0,78.0
4458,NGR Layout,2,1019.0,2.0,45.9
4459,Whitefield,2,1355.0,3.0,76.0
4460,others,3,1537.0,3.0,110.0
4461,Whitefield,4,4075.0,5.0,226.0
4462,Raja Rajeshwari Nagar,3,1550.0,3.0,52.45
4463,Raja Rajeshwari Nagar,2,1100.0,2.0,50.0
4464,9th Phase JP Nagar,2,1466.0,2.0,71.0
4465,Rachenahalli,3,1550.0,3.0,72.5
4466,Akshaya Nagar,3,2300.0,4.0,102.0
4467,Kengeri,1,540.0,1.0,22.5
4468,others,2,1020.0,2.0,48.0
4469,Hoodi,2,1305.0,2.0,75.0
4470,Sarjapur,4,2100.0,3.0,125.0
4471,Horamavu Banaswadi,2,1225.0,2.0,49.5
4472,Hennur,2,1255.0,2.0,55.5
4473,others,2,1191.0,2.0,90.0
4474,others,2,865.0,2.0,35.11
4475,Nagarbhavi,3,1850.0,2.0,88.0
4476,Yelahanka,3,1614.0,2.0,100.0
4477,Magadi Road,2,600.0,1.0,22.0
4478,Thigalarapalya,3,2072.0,4.0,155.0
4479,Electronic City,2,919.0,2.0,34.0
4480,others,4,2100.0,4.0,90.0
4481,others,2,1000.0,2.0,42.0
4482,Lingadheeranahalli,4,2245.0,4.0,154.0
4483,Ambedkar Nagar,3,1852.0,3.0,130.0
4484,others,2,1225.0,2.0,47.0
4485,Panathur,3,1597.0,3.0,67.12
4486,Jakkur,3,2423.0,4.0,160.0
4487,Marathahalli,2,1152.0,2.0,90.0
4488,Harlur,3,1762.0,3.0,133.0
4489,Kammasandra,3,1400.0,3.0,92.0
4490,Yelahanka,3,1890.0,3.0,108.0
4491,Varthur Road,3,1247.0,2.0,58.0
4492,Bellandur,2,1201.0,2.0,59.99
4493,others,2,830.0,2.0,40.0
4494,Bommanahalli,2,1100.0,1.0,55.0
4495,9th Phase JP Nagar,3,1890.0,2.0,93.0
4496,others,3,1685.0,3.0,60.0
4497,Battarahalli,2,1165.0,2.0,43.0
4498,others,2,827.0,2.0,45.0
4499,Electronics City Phase 1,1,635.0,1.0,26.0
4500,others,2,1050.0,2.0,50.0
4501,Yelenahalli,3,1500.0,2.0,57.0
4502,Raja Rajeshwari Nagar,3,1751.0,3.0,72.0
4503,Bommasandra,2,1020.0,2.0,40.89
4504,Thanisandra,2,1148.0,2.0,43.5
4505,others,2,1060.0,2.0,49.27
4506,Haralur Road,2,1300.0,2.0,60.0
4507,Hormavu,4,3000.0,4.0,100.0
4508,Bellandur,2,1325.0,2.0,65.0
4509,others,2,1261.0,2.0,61.0
4510,others,2,1100.0,2.0,46.0
4511,Ramamurthy Nagar,2,700.0,2.0,33.0
4512,7th Phase JP Nagar,3,1675.0,2.0,135.0
4513,others,4,3400.0,4.0,190.0
4514,others,2,1180.0,2.0,56.0
4515,Uttarahalli,2,1160.0,2.0,45.0
4516,Kasavanhalli,4,1863.0,3.0,105.0
4517,Sahakara Nagar,3,1914.0,3.0,149.0
4518,BTM Layout,3,1458.0,3.0,79.0
4519,Babusapalaya,2,1105.0,2.0,40.0
4520,Akshaya Nagar,3,1662.0,3.0,90.0
4521,Yelahanka,3,1556.0,3.0,86.0
4522,Jigani,2,918.0,2.0,50.0
4523,Sarjapur  Road,3,1455.0,2.0,98.0
4524,others,2,1205.0,2.0,70.0
4525,others,2,1194.0,2.0,65.0
4526,Laggere,2,1200.0,2.0,75.0
4527,Bannerghatta Road,3,1100.0,2.0,52.0
4528,Sarjapur  Road,3,1405.0,3.0,48.87
4529,Subramanyapura,2,929.0,2.0,56.0
4530,8th Phase JP Nagar,4,2100.0,4.0,92.0
4531,Channasandra,2,1065.0,2.0,40.47
4532,Bannerghatta Road,3,1532.5,3.0,84.29
4533,Hormavu,2,1093.0,2.0,32.78
4534,Anandapura,2,1250.0,2.0,45.0
4535,Marathahalli,3,1680.0,3.0,105.0
4536,Nagarbhavi,2,1146.0,2.0,50.0
4537,others,2,1250.0,2.0,58.0
4538,Ramagondanahalli,3,1451.0,3.0,60.44
4539,others,3,1424.0,2.0,55.0
4540,Gottigere,3,1435.0,2.0,62.0
4541,Devanahalli,1,658.0,1.0,26.91
4542,Bommanahalli,3,1300.0,3.0,45.0
4543,Whitefield,2,1242.0,2.0,65.0
4544,Marathahalli,3,1910.0,3.0,119.0
4545,Yelahanka,3,1610.0,4.0,85.0
4546,Hulimavu,2,1127.0,2.0,65.0
4547,Yelahanka,3,1075.0,2.0,42.0
4548,Mysore Road,2,1155.0,2.0,51.0
4549,others,3,1250.0,3.0,55.0
4550,others,3,2200.0,4.0,160.0
4551,Billekahalli,3,2400.0,3.0,150.0
4552,Chandapura,2,876.0,2.0,29.5
4553,Nagarbhavi,3,1850.0,2.0,89.0
4554,Kadugodi,2,1314.0,2.0,83.0
4555,Rachenahalli,1,690.0,1.0,39.8
4556,Electronic City Phase II,4,3550.0,2.0,167.5
4557,others,2,1230.0,2.0,55.0
4558,Bommasandra,2,920.0,2.0,37.2
4559,Sarjapur  Road,3,1850.0,3.0,140.0
4560,Electronic City,2,1073.0,2.0,60.0
4561,others,3,1540.0,3.0,76.0
4562,Kanakpura Road,3,1550.0,3.0,63.5
4563,Kalyan nagar,2,1198.0,2.0,65.0
4564,HBR Layout,3,1656.0,3.0,90.0
4565,others,3,1900.0,3.0,155.0
4566,Ramagondanahalli,3,1910.0,3.0,142.0
4567,Mysore Road,2,1003.0,2.0,43.0
4568,others,2,1576.0,2.0,48.0
4569,Whitefield,3,1495.0,2.0,67.0
4570,Thanisandra,3,2172.0,3.0,76.02
4571,others,2,1200.0,1.0,95.0
4572,Whitefield,3,1548.0,3.0,65.0
4573,Whitefield,4,2856.0,5.0,154.5
4574,Hosur Road,3,1689.0,3.0,103.0
4575,Electronic City Phase II,2,1031.0,2.0,53.0
4576,others,2,1060.0,2.0,37.0
4577,others,2,1100.0,2.0,61.0
4578,Hennur Road,3,1250.0,2.0,77.88
4579,Seegehalli,3,1420.0,2.0,46.0
4580,others,3,1942.0,3.0,155.0
4581,Haralur Road,3,1985.0,3.0,130.0
4582,Sarjapur  Road,1,950.0,1.0,39.9
4583,others,3,1200.0,4.0,80.0
4584,Green Glen Layout,3,1752.0,3.0,105.0
4585,Old Madras Road,3,1480.0,2.0,84.0
4586,Sarjapur  Road,3,1826.0,3.0,130.0
4587,8th Phase JP Nagar,2,1035.0,2.0,39.33
4588,Sarjapur  Road,4,2600.0,4.0,98.0
4589,Kasavanhalli,3,1667.0,3.0,92.0
4590,Thanisandra,2,934.0,2.0,55.0
4591,JP Nagar,3,1576.0,3.0,69.34
4592,Mahadevpura,3,1620.0,2.0,76.0
4593,Electronic City,2,1070.0,2.0,47.0
4594,Hosur Road,5,3600.0,5.0,180.0
4595,Uttarahalli,3,1280.0,2.0,60.0
4596,others,2,1400.0,2.0,60.0
4597,others,2,1330.0,2.0,64.0
4598,Electronic City Phase II,3,1611.0,2.0,48.33
4599,Whitefield,3,1405.0,3.0,58.0
4600,others,3,1515.0,3.0,90.0
4601,Thigalarapalya,3,1830.0,4.0,150.0
4602,Kaggadasapura,3,1710.0,3.0,60.0
4603,BTM Layout,2,935.0,2.0,51.5
4604,Jakkur,3,2197.0,3.0,136.0
4605,Yeshwanthpur,3,1678.0,3.0,92.13
4606,Brookefield,3,1410.0,2.0,80.0
4607,Jakkur,2,1125.0,2.0,65.0
4608,Magadi Road,3,1191.0,2.0,55.38
4609,Thubarahalli,2,1200.0,2.0,79.0
4610,CV Raman Nagar,3,1525.0,2.0,67.0
4611,Seegehalli,2,920.0,2.0,27.0
4612,Chikkabanavar,2,600.0,1.0,25.0
4613,Thanisandra,2,1185.0,2.0,44.0
4614,Electronics City Phase 1,2,1190.0,2.0,68.0
4615,Whitefield,4,2856.0,5.0,158.5
4616,Whitefield,2,1355.0,2.0,73.0
4617,KR Puram,2,1200.0,1.0,65.0
4618,Kundalahalli,4,7000.0,4.0,550.0
4619,Yelahanka New Town,1,500.0,2.0,24.0
4620,Bommasandra Industrial Area,3,1250.0,3.0,50.0
4621,Uttarahalli,3,1480.0,2.0,58.0
4622,KR Puram,3,1583.0,2.0,70.445
4623,others,2,1206.0,2.0,53.0
4624,Hosakerehalli,2,925.0,2.0,46.5
4625,8th Phase JP Nagar,2,909.0,2.0,40.9
4626,Brookefield,2,1100.0,2.0,55.0
4627,Raja Rajeshwari Nagar,2,1306.0,2.0,44.17
4628,others,4,1200.0,4.0,95.0
4629,Kalena Agrahara,1,610.0,1.0,39.0
4630,Yelahanka,3,1484.0,2.0,56.4
4631,Ramamurthy Nagar,2,1125.0,2.0,47.0
4632,Whitefield,4,2882.0,5.0,158.0
4633,Kundalahalli,3,2075.0,3.0,115.0
4634,others,2,1250.0,2.0,58.0
4635,Horamavu Banaswadi,2,1272.0,2.0,51.5
4636,others,2,625.0,2.0,24.0
4637,1st Phase JP Nagar,1,840.0,2.0,50.0
4638,Hennur Road,4,2502.0,4.0,180.0
4639,Rayasandra,1,583.0,1.0,26.9
4640,others,2,900.0,2.0,27.0
4641,Kanakapura,3,2200.0,3.0,121.0
4642,Whitefield,1,750.0,1.0,51.0
4643,Marathahalli,3,1600.0,3.0,58.0
4644,Chikkalasandra,3,1365.0,2.0,49.0
4645,others,3,1300.0,3.0,64.0
4646,others,1,1200.0,1.0,69.0
4647,Vishwapriya Layout,3,1250.0,3.0,38.0
4648,Kaggadasapura,3,1500.0,3.0,75.0
4649,Banashankari Stage V,3,1510.0,3.0,47.57
4650,7th Phase JP Nagar,2,1187.0,2.0,59.0
4651,Kundalahalli,2,1120.0,2.0,53.76
4652,Whitefield,2,1115.0,2.0,34.555
4653,others,3,1717.0,3.0,99.0
4654,others,3,2099.0,3.0,95.0
4655,Kasturi Nagar,2,1100.0,2.0,58.0
4656,others,1,1200.0,1.0,48.0
4657,Bannerghatta Road,3,1465.0,2.0,45.87
4658,Kothanur,1,1500.0,1.0,75.0
4659,Haralur Road,3,1255.0,2.0,90.0
4660,5th Phase JP Nagar,2,1220.0,2.0,88.0
4661,Sultan Palaya,3,1765.0,3.0,80.0
4662,Bellandur,2,1281.0,2.0,87.0
4663,Kaggadasapura,2,1215.0,2.0,43.0
4664,Ananth Nagar,4,1200.0,3.0,87.0
4665,Mysore Road,2,1237.0,2.0,73.0
4666,Lakshminarayana Pura,2,1300.0,2.0,70.0
4667,Whitefield,2,1105.0,2.0,39.99
4668,Hebbal Kempapura,4,3900.0,5.0,310.0
4669,Banashankari,2,1186.0,2.0,65.0
4670,Kengeri,2,750.0,2.0,35.5
4671,others,3,1430.0,2.0,78.65
4672,Thanisandra,2,1056.0,2.0,68.0
4673,others,3,2108.0,3.0,85.0
4674,Banashankari,3,1650.0,3.0,101.0
4675,Electronic City Phase II,3,1220.0,3.0,36.6
4676,Rayasandra,2,1198.0,2.0,54.0
4677,others,2,1190.0,2.0,70.0
4678,others,2,900.0,2.0,41.0
4679,others,4,2690.0,4.0,185.0
4680,Kanakapura,2,1340.0,2.0,65.0
4681,Yelahanka,2,1260.0,2.0,59.2
4682,Talaghattapura,3,2254.0,3.0,153.0
4683,JP Nagar,2,820.0,2.0,45.0
4684,Electronic City,2,1296.0,2.0,65.0
4685,Uttarahalli,2,1190.0,2.0,53.55
4686,Whitefield,2,1173.0,2.0,77.0
4687,Sarjapura - Attibele Road,3,1800.0,3.0,90.0
4688,Yelahanka,2,1102.0,2.0,52.0
4689,Sarjapur,2,913.0,2.0,36.0
4690,Hormavu,3,1176.0,2.0,35.27
4691,Prithvi Layout,3,1620.0,3.0,65.0
4692,Billekahalli,3,2968.0,3.0,225.0
4693,Yelahanka,2,1519.0,2.0,65.0
4694,others,3,1594.0,3.0,99.0
4695,others,2,1250.0,2.0,68.0
4696,Haralur Road,2,1056.0,2.0,60.0
4697,Whitefield,3,1200.0,3.0,68.4
4698,others,2,1290.0,1.0,77.5
4699,others,2,1150.0,2.0,48.0
4700,Anekal,4,1200.0,2.0,36.0
4701,Gollarapalya Hosahalli,2,861.0,2.0,36.5
4702,Kundalahalli,2,1047.0,2.0,82.62
4703,others,2,1200.0,2.0,75.0
4704,others,2,1065.0,2.0,45.0
4705,Ramamurthy Nagar,2,1000.0,2.0,62.0
4706,Lingadheeranahalli,3,1682.0,3.0,113.0
4707,Harlur,3,1756.0,3.0,131.0
4708,Vittasandra,2,1238.0,2.0,67.32
4709,Dasanapura,2,814.0,2.0,42.0
4710,Dodda Nekkundi,2,1145.0,2.0,46.5
4711,Varthur,2,965.0,2.0,34.0
4712,others,2,750.0,2.0,36.0
4713,Banashankari,3,1300.0,2.0,55.0
4714,1st Phase JP Nagar,3,1590.0,3.0,131.0
4715,Begur Road,1,644.0,1.0,40.0
4716,Whitefield,2,982.0,2.0,37.0
4717,Indira Nagar,2,1260.0,2.0,100.0
4718,Rayasandra,3,1555.0,3.0,75.17
4719,Kaggadasapura,2,1225.0,2.0,48.0
4720,Electronics City Phase 1,2,1085.0,2.0,46.0
4721,Thanisandra,3,1595.0,3.0,110.0
4722,Raja Rajeshwari Nagar,2,1196.0,2.0,40.44
4723,Yelahanka,3,1859.0,3.0,108.0
4724,9th Phase JP Nagar,2,1079.0,2.0,60.0
4725,Whitefield,2,1118.0,2.0,42.0
4726,CV Raman Nagar,2,1198.0,2.0,60.0
4727,Thigalarapalya,3,1830.0,4.0,135.0
4728,Banashankari Stage VI,2,1160.0,2.0,59.0
4729,others,3,2070.0,3.0,135.0
4730,Kannamangala,2,957.0,2.0,52.5
4731,Bannerghatta Road,2,1268.0,2.0,69.0
4732,Bannerghatta Road,3,1450.0,2.0,87.0
4733,others,3,1600.0,2.0,75.0
4734,Uttarahalli,3,1330.0,2.0,57.0
4735,Jakkur,3,1355.0,2.0,65.0
4736,others,2,1100.0,2.0,38.49
4737,Chikkalasandra,2,1075.0,2.0,46.76
4738,others,2,800.0,2.0,55.0
4739,others,2,900.0,1.0,44.0
4740,Haralur Road,2,1140.0,2.0,42.0
4741,Padmanabhanagar,3,1710.0,2.0,90.63
4742,Talaghattapura,3,2106.0,3.0,148.0
4743,others,3,3800.0,2.0,130.0
4744,Marathahalli,2,1602.0,2.0,104.0
4745,Sarjapur  Road,3,1660.0,2.0,116.0
4746,Electronic City Phase II,3,1549.0,3.0,80.0
4747,Marathahalli,1,700.0,1.0,38.0
4748,Balagere,2,1012.0,2.0,64.0
4749,Whitefield,2,1216.0,2.0,69.0
4750,Electronic City Phase II,2,1065.0,2.0,56.13
4751,Thanisandra,3,1411.0,3.0,93.15
4752,Pai Layout,2,1400.0,2.0,57.5
4753,Haralur Road,2,1245.0,2.0,62.0
4754,Vidyaranyapura,2,1000.0,2.0,35.0
4755,Panathur,3,1580.0,3.0,71.89
4756,Subramanyapura,3,1800.0,3.0,90.0
4757,Kothannur,3,1275.0,3.0,44.0
4758,Kasavanhalli,3,1494.0,3.0,82.0
4759,Bhoganhalli,3,1949.0,3.0,129.0
4760,BTM Layout,2,1020.0,2.0,46.5
4761,Mysore Road,2,883.0,2.0,45.0
4762,others,3,2010.0,3.0,125.0
4763,Yeshwanthpur,2,1240.0,2.0,80.0
4764,6th Phase JP Nagar,2,1213.0,2.0,63.0
4765,Hegde Nagar,3,1835.0,3.0,88.0
4766,Bannerghatta Road,4,2932.0,5.0,195.0
4767,Whitefield,4,3425.0,5.0,250.0
4768,Gottigere,2,945.0,2.0,45.0
4769,others,3,1504.0,2.0,100.0
4770,Harlur,3,1755.0,3.0,130.0
4771,Vijayanagar,3,1760.0,3.0,140.0
4772,Hoodi,2,1240.0,2.0,43.94
4773,Electronics City Phase 1,3,1450.0,3.0,72.54
4774,5th Phase JP Nagar,2,1000.0,2.0,48.0
4775,Shivaji Nagar,1,3820.0,1.0,306.0
4776,Thyagaraja Nagar,5,2000.0,4.0,145.0
4777,Choodasandra,2,1215.0,2.0,59.0
4778,Yelachenahalli,3,1330.0,3.0,73.5
4779,Raja Rajeshwari Nagar,2,1178.0,2.0,75.0
4780,Bellandur,3,2000.0,3.0,85.0
4781,Dasarahalli,3,2400.0,2.0,152.0
4782,Sarjapur  Road,3,1700.0,3.0,108.0
4783,Jigani,3,1200.0,3.0,65.0
4784,others,3,1500.0,3.0,72.0
4785,Kanakpura Road,3,1737.0,3.0,85.0
4786,others,3,1280.0,2.0,48.0
4787,CV Raman Nagar,2,1560.0,2.0,85.0
4788,Kambipura,2,883.0,2.0,44.0
4789,Kengeri Satellite Town,2,750.0,2.0,33.0
4790,Brookefield,4,2400.0,3.0,140.0
4791,others,2,900.0,2.0,45.0
4792,Hormavu,2,1030.0,2.0,49.35
4793,Hennur Road,3,1831.0,3.0,110.0
4794,others,2,1095.0,2.0,38.33
4795,Sarjapur  Road,3,1272.5,2.0,40.72
4796,7th Phase JP Nagar,2,1000.0,2.0,61.0
4797,Budigere,3,1820.0,3.0,85.4
4798,Bisuvanahalli,3,1075.0,2.0,41.0
4799,TC Palaya,3,1500.0,3.0,83.0
4800,Electronics City Phase 1,1,360.0,1.0,16.9
4801,Kadugodi,1,925.0,1.0,40.7
4802,Electronic City,2,1140.0,2.0,70.93
4803,others,2,1145.0,2.0,58.4
4804,others,3,1862.0,3.0,120.0
4805,Devarachikkanahalli,2,947.0,2.0,43.0
4806,Kalena Agrahara,2,1120.0,2.0,40.0
4807,others,3,2700.0,3.0,200.0
4808,Kaggadasapura,3,1805.0,2.0,75.0
4809,others,3,1677.0,3.0,98.0
4810,Uttarahalli,3,1560.0,3.0,74.0
4811,Arekere,3,2060.0,3.0,150.0
4812,Koramangala,3,1716.0,2.0,115.0
4813,Harlur,3,1864.0,3.0,140.0
4814,Electronics City Phase 1,1,638.0,1.0,32.0
4815,Chandapura,2,937.0,2.0,30.0
4816,others,3,1490.0,2.0,115.0
4817,Whitefield,2,1100.0,2.0,37.0
4818,Thigalarapalya,2,1000.0,2.0,48.53
4819,Horamavu Agara,2,1060.0,2.0,37.0
4820,Basaveshwara Nagar,2,1200.0,2.0,80.0
4821,Akshaya Nagar,3,1420.0,2.0,75.0
4822,Sarjapur  Road,3,1539.0,3.0,85.0
4823,others,3,1550.0,3.0,59.0
4824,Kasavanhalli,3,1555.0,3.0,82.0
4825,Seegehalli,3,1553.0,3.0,68.0
4826,others,3,1740.0,3.0,120.0
4827,OMBR Layout,3,1855.0,3.0,145.0
4828,others,2,1020.0,2.0,60.0
4829,Uttarahalli,3,1250.0,2.0,50.0
4830,Sanjay nagar,3,1450.0,3.0,75.0
4831,Thubarahalli,2,1200.0,2.0,80.0
4832,Haralur Road,2,1140.0,2.0,58.0
4833,others,1,550.0,1.0,16.0
4834,Bannerghatta Road,3,1450.0,3.0,44.0
4835,Kanakpura Road,2,700.0,2.0,35.07
4836,Whitefield,3,1200.0,3.0,56.0
4837,Yelahanka,2,1050.0,2.0,45.0
4838,Somasundara Palya,3,1600.0,3.0,69.0
4839,Bannerghatta Road,3,1625.0,2.0,75.0
4840,others,2,1492.0,2.0,65.0
4841,Whitefield,4,2856.0,5.0,157.5
4842,Sarjapur  Road,3,1489.0,2.0,82.0
4843,Kanakapura,3,1560.0,2.0,62.38
4844,others,3,1431.0,3.0,65.0
4845,Lingadheeranahalli,3,1682.0,3.0,114.0
4846,Panathur,2,1198.0,2.0,86.26
4847,Sarjapur  Road,3,1550.0,2.0,69.75
4848,Kodichikkanahalli,2,1026.0,2.0,45.0
4849,Hennur,3,1260.0,2.0,52.0
4850,others,2,690.0,2.0,42.0
4851,Sarakki Nagar,4,1200.0,4.0,85.0
4852,Attibele,3,2400.0,3.0,120.0
4853,Thubarahalli,2,1200.0,2.0,79.55
4854,Sarjapur  Road,3,1186.0,2.0,40.0
4855,Thanisandra,2,1039.0,2.0,39.5
4856,Gottigere,5,1500.0,4.0,100.0
4857,Malleshwaram,3,2520.0,3.0,150.0
4858,Brookefield,2,1225.0,2.0,66.5
4859,Bommanahalli,2,1350.0,2.0,72.0
4860,Whitefield,3,1550.0,2.0,49.6
4861,Hoodi,3,1490.0,3.0,79.0
4862,others,3,1520.0,3.0,111.0
4863,others,3,1391.0,2.0,64.5
4864,Rachenahalli,2,1200.0,2.0,50.0
4865,others,4,1200.0,4.0,86.0
4866,Yelahanka,2,1322.0,2.0,80.0
4867,Whitefield,3,2173.0,3.0,128.0
4868,Sarjapur  Road,2,1200.0,2.0,75.0
4869,Thubarahalli,2,1200.0,2.0,47.0
4870,Mysore Road,2,1170.0,2.0,65.0
4871,NRI Layout,2,1125.0,2.0,45.56
4872,Devanahalli,1,698.5,1.0,28.57
4873,others,2,1250.0,2.0,90.0
4874,Yelahanka,3,1075.0,2.0,36.0
4875,Whitefield,3,1435.0,3.0,45.0
4876,Electronics City Phase 1,2,1175.0,2.0,64.98
4877,others,2,900.0,2.0,33.0
4878,Electronics City Phase 1,1,585.0,1.0,21.0
4879,Jigani,4,3170.0,5.0,230.0
4880,Thanisandra,2,1220.0,2.0,42.0
4881,Bannerghatta Road,2,960.0,2.0,58.0
4882,NGR Layout,1,907.0,1.0,38.0
4883,Old Madras Road,2,1210.0,2.0,74.0
4884,others,2,1230.0,2.0,70.0
4885,5th Phase JP Nagar,3,1350.0,2.0,75.0
4886,Kenchenahalli,2,1150.0,2.0,58.0
4887,Sarjapur,3,1404.0,2.0,53.35
4888,OMBR Layout,2,1050.0,2.0,48.0
4889,Yelahanka,2,1285.0,2.0,56.0
4890,Hormavu,2,1018.0,2.0,50.8
4891,Hoskote,3,1200.0,3.0,57.0
4892,others,3,1600.0,3.0,95.0
4893,9th Phase JP Nagar,2,1480.0,2.0,80.0
4894,Kaval Byrasandra,1,480.0,1.0,25.0
4895,Akshaya Nagar,3,1435.0,3.0,53.0
4896,others,1,600.0,2.0,23.0
4897,CV Raman Nagar,3,1590.0,2.0,85.0
4898,Nagavara,2,936.0,2.0,40.2
4899,Banashankari,2,1181.0,2.0,75.0
4900,Kengeri,3,1741.0,3.0,80.0
4901,JP Nagar,3,1750.0,3.0,123.0
4902,Varthur Road,2,1050.0,2.0,42.7
4903,Tumkur Road,2,1027.0,2.0,60.0
4904,Sector 2 HSR Layout,3,1600.0,3.0,70.0
4905,Sahakara Nagar,2,1000.0,2.0,60.0
4906,Varthur,2,1120.0,2.0,44.24
4907,others,2,1200.0,2.0,85.0
4908,others,2,1200.0,2.0,35.0
4909,Kasturi Nagar,3,1570.0,3.0,110.0
4910,Electronic City Phase II,2,1140.0,2.0,33.84
4911,Banashankari,2,1105.0,2.0,90.0
4912,Whitefield,1,905.0,1.0,62.0
4913,Kudlu Gate,2,1185.0,2.0,50.0
4914,Rayasandra,3,1458.0,3.0,60.0
4915,Hormavu,3,1555.0,3.0,75.0
4916,others,2,1200.0,2.0,45.0
4917,Sarjapur  Road,2,1308.0,2.0,58.86
4918,Kudlu,2,1024.0,2.0,44.0
4919,Kanakapura,3,1450.0,3.0,75.0
4920,Seegehalli,3,1639.0,3.0,120.0
4921,Hennur Road,2,1232.0,2.0,87.0
4922,others,3,2000.0,4.0,130.0
4923,Jakkur,2,1230.0,2.0,79.0
4924,KR Puram,2,1076.0,2.0,67.0
4925,others,3,995.0,2.0,34.82
4926,Electronic City,2,1096.0,2.0,40.55
4927,Horamavu Agara,2,1107.83,2.0,41.51
4928,8th Phase JP Nagar,3,1431.5,3.0,72.02
4929,Whitefield,2,1320.0,2.0,99.26
4930,Whitefield,3,2901.0,4.0,190.0
4931,GM Palaya,3,1315.0,2.0,65.0
4932,others,2,1000.0,2.0,44.0
4933,Hosakerehalli,3,1596.0,3.0,79.8
4934,Bannerghatta Road,3,1750.0,3.0,130.0
4935,Old Madras Road,3,1350.0,3.0,47.25
4936,others,2,1175.0,2.0,79.0
4937,Talaghattapura,2,921.0,2.0,29.47
4938,Sultan Palaya,3,1713.0,3.0,125.0
4939,others,2,1200.0,2.0,43.0
4940,8th Phase JP Nagar,3,1900.0,4.0,90.0
4941,Kudlu Gate,3,1664.0,3.0,68.0
4942,Binny Pete,3,1795.0,3.0,139.0
4943,Kereguddadahalli,1,600.0,1.0,19.5
4944,Hoodi,2,1240.0,2.0,65.0
4945,Hegde Nagar,3,1965.0,4.0,132.0
4946,Electronics City Phase 1,2,1200.0,2.0,59.76
4947,others,2,1112.0,2.0,68.0
4948,Mahadevpura,2,1136.0,2.0,64.5
4949,Jigani,2,914.0,2.0,55.0
4950,Rachenahalli,2,1050.0,2.0,47.25
4951,Marathahalli,3,1385.0,2.0,68.5
4952,others,2,990.0,2.0,35.0
4953,Yelahanka,2,845.0,2.0,43.0
4954,Whitefield,2,1485.0,2.0,96.51
4955,Kanakapura,3,1460.0,2.0,43.79
4956,Thanisandra,2,1450.0,2.0,57.0
4957,HSR Layout,3,1360.0,2.0,53.0
4958,Singasandra,2,1375.0,2.0,58.0
4959,Uttarahalli,2,1125.0,2.0,48.0
4960,7th Phase JP Nagar,3,1460.0,2.0,100.0
4961,others,2,1107.0,2.0,40.0
4962,others,2,1158.0,2.0,75.0
4963,Yelachenahalli,2,800.0,1.0,30.0
4964,Bhoganhalli,3,1760.0,3.0,128.0
4965,others,4,3200.0,4.0,200.0
4966,TC Palaya,3,1350.0,3.0,60.0
4967,BTM Layout,3,1600.0,3.0,112.0
4968,others,2,1200.0,2.0,90.0
4969,Whitefield,3,1755.0,3.0,101.0
4970,Hulimavu,2,1200.0,2.0,50.0
4971,others,2,1200.0,2.0,67.0
4972,others,2,1266.67,2.0,69.0
4973,others,3,1300.0,3.0,64.0
4974,Mysore Road,2,1029.5,2.0,50.855
4975,Raja Rajeshwari Nagar,2,1128.0,2.0,40.0
4976,others,2,2000.0,2.0,160.0
4977,Panathur,2,1210.0,2.0,80.0
4978,Raja Rajeshwari Nagar,2,1151.0,2.0,39.0
4979,Sarjapur  Road,2,920.0,2.0,40.0
4980,Munnekollal,3,1750.0,3.0,86.5
4981,Dasanapura,2,1163.0,2.0,65.0
4982,others,3,1800.0,3.0,95.0
4983,CV Raman Nagar,2,1100.0,2.0,58.0
4984,R.T. Nagar,2,1200.0,2.0,60.0
4985,others,3,1410.0,3.0,65.0
4986,Begur Road,3,1933.0,3.0,98.0
4987,Begur Road,2,1200.0,2.0,45.6
4988,Whitefield,3,1608.0,2.0,63.0
4989,Horamavu Banaswadi,2,1156.0,2.0,46.9
4990,others,2,1230.0,2.0,75.0
4991,Kasavanhalli,1,770.0,1.0,43.82
4992,Ardendale,3,1777.26,3.0,105.0
4993,Kanakpura Road,2,1339.0,2.0,85.0
4994,Sarjapur  Road,3,3044.0,3.0,183.0
4995,others,2,1080.0,2.0,44.8
4996,others,2,2400.0,2.0,135.0
4997,Hulimavu,3,1450.0,3.0,72.0
4998,Kothanur,2,1075.0,2.0,53.0
4999,Sarjapur  Road,3,1163.0,2.0,62.0
